 4.46683592e+07 -4.37056293e+01  4.46683592e+07 -1.40139164e+02 
 5.01187234e+07 -4.35460701e+01  5.01187234e+07 -1.45741969e+02 
 5.62341325e+07 -4.34182194e+01  5.62341325e+07 -1.51183028e+02 
 6.30957344e+07 -4.33220376e+01  6.30957344e+07 -1.56461516e+02 
 7.07945784e+07 -4.32571853e+01  7.07945784e+07 -1.61585911e+02 
 7.94328235e+07 -4.32233618e+01  7.94328235e+07 -1.66572080e+02 
 8.91250938e+07 -4.32205711e+01  8.91250938e+07 -1.71441119e+02 
 1.00000000e+08 -4.32493031e+01  1.00000000e+08 -1.76217130e+02 
 1.12201845e+08 -4.33106298e+01  1.12201845e+08 -1.80925049e+02 
 1.25892541e+08 -4.34062155e+01  1.25892541e+08 -1.85588617e+02 
 1.41253754e+08 -4.35382461e+01  1.41253754e+08 -1.90228585e+02 
 1.58489319e+08 -4.37092827e+01  1.58489319e+08 -1.94861252e+02 
 1.77827941e+08 -4.39220488e+01  1.77827941e+08 -1.99497455e+02 
 1.99526231e+08 -4.41791730e+01  1.99526231e+08 -2.04142120e+02 
 2.23872114e+08 -4.44829176e+01  2.23872114e+08 -2.08794462e+02 
 2.51188643e+08 -4.48349286e+01  2.51188643e+08 -2.13448803e+02 
 2.81838293e+08 -4.52360450e+01  2.81838293e+08 -2.18095878e+02 
 3.16227766e+08 -4.56861851e+01  3.16227766e+08 -2.22724372e+02 
 3.54813389e+08 -4.61843100e+01  3.54813389e+08 -2.27322423e+02 
 3.98107171e+08 -4.67284398e+01  3.98107171e+08 -2.31878882e+02 
 4.46683592e+08 -4.73156928e+01  4.46683592e+08 -2.36384254e+02 
 5.01187234e+08 -4.79423213e+01  5.01187234e+08 -2.40831382e+02 
 5.62341325e+08 -4.86037394e+01  5.62341325e+08 -2.45215974e+02 
 6.30957344e+08 -4.92945507e+01  6.30957344e+08 -2.49537045e+02 
 7.07945784e+08 -5.00085906e+01  7.07945784e+08 -2.53797231e+02 
 7.94328235e+08 -5.07389939e+01  7.94328235e+08 -2.58002889e+02 
 8.91250938e+08 -5.14782900e+01  8.91250938e+08 -2.62163849e+02 
 1.00000000e+09 -5.22185232e+01  1.00000000e+09 -2.66292772e+02 
