point_id,corner,temp_c,vdd_v,vcm_v,op_pass,vout_dc_v,vd1_dc_v,vd2_dc_v,vtail_dc_v,vibias_dc_v,ivdd_total_a,ivdd_signal_path_a,av0_db,gbw_hz,pm_deg,gm_status,gm_db,gm_freq_hz
mos_sf_125C_1.32V,mos_sf,125,1.32,0.66,1,0.64469,0.795566,0.622849,0.249961,0.370492,0.000105543,9.5543e-05,42.4409,5.00242e+06,76.7385,measured,22.6726,4.60145e+07
mos_fs_-40C_1.08V,mos_fs,-40,1.08,0.54,1,0.524745,0.487601,0.299539,0.0859062,0.392554,0.000111804,0.000101804,42.3964,6.32844e+06,77.846,measured,23.2694,6.39108e+07
mos_fs_-40C_1.20V,mos_fs,-40,1.20,0.6,1,0.586109,0.596679,0.416199,0.140642,0.392554,0.000115338,0.000105338,42.849,5.97556e+06,78.5987,measured,23.9656,6.42982e+07
mos_fs_-40C_1.32V,mos_fs,-40,1.32,0.66,1,0.647081,0.710969,0.533036,0.197226,0.392554,0.00011836,0.00010836,43.7358,6.14081e+06,78.3668,measured,23.8693,6.49718e+07
mos_fs_27C_1.08V,mos_fs,27,1.08,0.54,1,0.522254,0.487711,0.305177,0.119684,0.365141,0.000106512,9.6512e-05,40.5203,5.57669e+06,77.6147,measured,23.0457,5.45396e+07
mos_fs_27C_1.20V,mos_fs,27,1.20,0.6,1,0.583814,0.598461,0.421734,0.175858,0.365141,0.000109512,9.9512e-05,41.4537,5.4864e+06,77.8682,measured,23.3559,5.49712e+07
mos_fs_27C_1.32V,mos_fs,27,1.32,0.66,1,0.645039,0.712555,0.538471,0.233128,0.365141,0.000112177,0.000102177,42.5067,5.64524e+06,77.5906,measured,23.2401,5.55453e+07
mos_fs_125C_1.08V,mos_fs,125,1.08,0.54,1,0.518652,0.506917,0.335611,0.176269,0.321384,0.000100948,9.0948e-05,37.7812,4.74216e+06,77.4724,measured,22.7886,4.49342e+07
mos_fs_125C_1.20V,mos_fs,125,1.20,0.6,1,0.58084,0.618813,0.452113,0.234003,0.321384,0.000103412,9.3412e-05,39.5684,4.82635e+06,77.2013,measured,22.7791,4.52872e+07
mos_fs_125C_1.32V,mos_fs,125,1.32,0.66,1,0.642442,0.732888,0.568822,0.292175,0.321384,0.000105639,9.5639e-05,40.8674,4.96996e+06,76.8517,measured,22.6448,4.57139e+07
